x,y,z
433140.000000,436032.000000,100.000000
433075.159093,436337.052482,100.000000
432891.847955,436589.358619,100.000000
432621.762746,436745.292387,100.000000
432311.603653,436777.891422,100.000000
432015.000000,436681.519053,100.000000
431783.237254,436472.838939,100.000000
431656.389299,436187.933768,100.000000
431656.389299,435876.066232,100.000000
431783.237254,435591.161061,100.000000
432015.000000,435382.480947,100.000000
432311.603653,435286.108578,100.000000
432621.762746,435318.707613,100.000000
432891.847955,435474.641381,100.000000
433075.159093,435726.947518,100.000000
433140.000000,436032.000000,200.000000
433075.159093,436337.052482,200.000000
432891.847955,436589.358619,200.000000
432621.762746,436745.292387,200.000000
432311.603653,436777.891422,200.000000
432015.000000,436681.519053,200.000000
431783.237254,436472.838939,200.000000
431656.389299,436187.933768,200.000000
431656.389299,435876.066232,200.000000
431783.237254,435591.161061,200.000000
432015.000000,435382.480947,200.000000
432311.603653,435286.108578,200.000000
432621.762746,435318.707613,200.000000
432891.847955,435474.641381,200.000000
433075.159093,435726.947518,200.000000
433140.000000,436032.000000,300.000000
433075.159093,436337.052482,300.000000
432891.847955,436589.358619,300.000000
432621.762746,436745.292387,300.000000
432311.603653,436777.891422,300.000000
432015.000000,436681.519053,300.000000
431783.237254,436472.838939,300.000000
431656.389299,436187.933768,300.000000
431656.389299,435876.066232,300.000000
431783.237254,435591.161061,300.000000
432015.000000,435382.480947,300.000000
432311.603653,435286.108578,300.000000
432621.762746,435318.707613,300.000000
432891.847955,435474.641381,300.000000
433075.159093,435726.947518,300.000000
433140.000000,436032.000000,400.000000
433075.159093,436337.052482,400.000000
432891.847955,436589.358619,400.000000
432621.762746,436745.292387,400.000000
432311.603653,436777.891422,400.000000
432015.000000,436681.519053,400.000000
431783.237254,436472.838939,400.000000
431656.389299,436187.933768,400.000000
431656.389299,435876.066232,400.000000
431783.237254,435591.161061,400.000000
432015.000000,435382.480947,400.000000
432311.603653,435286.108578,400.000000
432621.762746,435318.707613,400.000000
432891.847955,435474.641381,400.000000
433075.159093,435726.947518,400.000000
433140.000000,436032.000000,500.000000
433075.159093,436337.052482,500.000000
432891.847955,436589.358619,500.000000
432621.762746,436745.292387,500.000000
432311.603653,436777.891422,500.000000
432015.000000,436681.519053,500.000000
431783.237254,436472.838939,500.000000
431656.389299,436187.933768,500.000000
431656.389299,435876.066232,500.000000
431783.237254,435591.161061,500.000000
432015.000000,435382.480947,500.000000
432311.603653,435286.108578,500.000000
432621.762746,435318.707613,500.000000
432891.847955,435474.641381,500.000000
433075.159093,435726.947518,500.000000
433140.000000,436032.000000,600.000000
433075.159093,436337.052482,600.000000
432891.847955,436589.358619,600.000000
432621.762746,436745.292387,600.000000
432311.603653,436777.891422,600.000000
432015.000000,436681.519053,600.000000
431783.237254,436472.838939,600.000000
431656.389299,436187.933768,600.000000
431656.389299,435876.066232,600.000000
431783.237254,435591.161061,600.000000
432015.000000,435382.480947,600.000000
432311.603653,435286.108578,600.000000
432621.762746,435318.707613,600.000000
432891.847955,435474.641381,600.000000
433075.159093,435726.947518,600.000000
433140.000000,436032.000000,700.000000
433075.159093,436337.052482,700.000000
432891.847955,436589.358619,700.000000
432621.762746,436745.292387,700.000000
432311.603653,436777.891422,700.000000
432015.000000,436681.519053,700.000000
431783.237254,436472.838939,700.000000
431656.389299,436187.933768,700.000000
431656.389299,435876.066232,700.000000
431783.237254,435591.161061,700.000000
432015.000000,435382.480947,700.000000
432311.603653,435286.108578,700.000000
432621.762746,435318.707613,700.000000
432891.847955,435474.641381,700.000000
433075.159093,435726.947518,700.000000
433140.000000,436032.000000,800.000000
433075.159093,436337.052482,800.000000
432891.847955,436589.358619,800.000000
432621.762746,436745.292387,800.000000
432311.603653,436777.891422,800.000000
432015.000000,436681.519053,800.000000
431783.237254,436472.838939,800.000000
431656.389299,436187.933768,800.000000
431656.389299,435876.066232,800.000000
431783.237254,435591.161061,800.000000
432015.000000,435382.480947,800.000000
432311.603653,435286.108578,800.000000
432621.762746,435318.707613,800.000000
432891.847955,435474.641381,800.000000
433075.159093,435726.947518,800.000000
433140.000000,436032.000000,900.000000
433075.159093,436337.052482,900.000000
432891.847955,436589.358619,900.000000
432621.762746,436745.292387,900.000000
432311.603653,436777.891422,900.000000
432015.000000,436681.519053,900.000000
431783.237254,436472.838939,900.000000
431656.389299,436187.933768,900.000000
431656.389299,435876.066232,900.000000
431783.237254,435591.161061,900.000000
432015.000000,435382.480947,900.000000
432311.603653,435286.108578,900.000000
432621.762746,435318.707613,900.000000
432891.847955,435474.641381,900.000000
433075.159093,435726.947518,900.000000
433140.000000,436032.000000,1000.000000
433075.159093,436337.052482,1000.000000
432891.847955,436589.358619,1000.000000
432621.762746,436745.292387,1000.000000
432311.603653,436777.891422,1000.000000
432015.000000,436681.519053,1000.000000
431783.237254,436472.838939,1000.000000
431656.389299,436187.933768,1000.000000
431656.389299,435876.066232,1000.000000
431783.237254,435591.161061,1000.000000
432015.000000,435382.480947,1000.000000
432311.603653,435286.108578,1000.000000
432621.762746,435318.707613,1000.000000
432891.847955,435474.641381,1000.000000
433075.159093,435726.947518,1000.000000
433140.000000,436032.000000,1100.000000
433075.159093,436337.052482,1100.000000
432891.847955,436589.358619,1100.000000
432621.762746,436745.292387,1100.000000
432311.603653,436777.891422,1100.000000
432015.000000,436681.519053,1100.000000
431783.237254,436472.838939,1100.000000
431656.389299,436187.933768,1100.000000
431656.389299,435876.066232,1100.000000
431783.237254,435591.161061,1100.000000
432015.000000,435382.480947,1100.000000
432311.603653,435286.108578,1100.000000
432621.762746,435318.707613,1100.000000
432891.847955,435474.641381,1100.000000
433075.159093,435726.947518,1100.000000
433140.000000,436032.000000,1200.000000
433075.159093,436337.052482,1200.000000
432891.847955,436589.358619,1200.000000
432621.762746,436745.292387,1200.000000
432311.603653,436777.891422,1200.000000
432015.000000,436681.519053,1200.000000
431783.237254,436472.838939,1200.000000
431656.389299,436187.933768,1200.000000
431656.389299,435876.066232,1200.000000
431783.237254,435591.161061,1200.000000
432015.000000,435382.480947,1200.000000
432311.603653,435286.108578,1200.000000
432621.762746,435318.707613,1200.000000
432891.847955,435474.641381,1200.000000
433075.159093,435726.947518,1200.000000
433140.000000,436032.000000,1300.000000
433075.159093,436337.052482,1300.000000
432891.847955,436589.358619,1300.000000
432621.762746,436745.292387,1300.000000
432311.603653,436777.891422,1300.000000
432015.000000,436681.519053,1300.000000
431783.237254,436472.838939,1300.000000
431656.389299,436187.933768,1300.000000
431656.389299,435876.066232,1300.000000
431783.237254,435591.161061,1300.000000
432015.000000,435382.480947,1300.000000
432311.603653,435286.108578,1300.000000
432621.762746,435318.707613,1300.000000
432891.847955,435474.641381,1300.000000
433075.159093,435726.947518,1300.000000
433140.000000,436032.000000,1400.000000
433075.159093,436337.052482,1400.000000
432891.847955,436589.358619,1400.000000
432621.762746,436745.292387,1400.000000
432311.603653,436777.891422,1400.000000
432015.000000,436681.519053,1400.000000
431783.237254,436472.838939,1400.000000
431656.389299,436187.933768,1400.000000
431656.389299,435876.066232,1400.000000
431783.237254,435591.161061,1400.000000
432015.000000,435382.480947,1400.000000
432311.603653,435286.108578,1400.000000
432621.762746,435318.707613,1400.000000
432891.847955,435474.641381,1400.000000
433075.159093,435726.947518,1400.000000
433140.000000,436032.000000,1500.000000
433075.159093,436337.052482,1500.000000
432891.847955,436589.358619,1500.000000
432621.762746,436745.292387,1500.000000
432311.603653,436777.891422,1500.000000
432015.000000,436681.519053,1500.000000
431783.237254,436472.838939,1500.000000
431656.389299,436187.933768,1500.000000
431656.389299,435876.066232,1500.000000
431783.237254,435591.161061,1500.000000
432015.000000,435382.480947,1500.000000
432311.603653,435286.108578,1500.000000
432621.762746,435318.707613,1500.000000
432891.847955,435474.641381,1500.000000
433075.159093,435726.947518,1500.000000
433140.000000,436032.000000,1600.000000
433075.159093,436337.052482,1600.000000
432891.847955,436589.358619,1600.000000
432621.762746,436745.292387,1600.000000
432311.603653,436777.891422,1600.000000
432015.000000,436681.519053,1600.000000
431783.237254,436472.838939,1600.000000
431656.389299,436187.933768,1600.000000
431656.389299,435876.066232,1600.000000
431783.237254,435591.161061,1600.000000
432015.000000,435382.480947,1600.000000
432311.603653,435286.108578,1600.000000
432621.762746,435318.707613,1600.000000
432891.847955,435474.641381,1600.000000
433075.159093,435726.947518,1600.000000
433140.000000,436032.000000,1700.000000
433075.159093,436337.052482,1700.000000
432891.847955,436589.358619,1700.000000
432621.762746,436745.292387,1700.000000
432311.603653,436777.891422,1700.000000
432015.000000,436681.519053,1700.000000
431783.237254,436472.838939,1700.000000
431656.389299,436187.933768,1700.000000
431656.389299,435876.066232,1700.000000
431783.237254,435591.161061,1700.000000
432015.000000,435382.480947,1700.000000
432311.603653,435286.108578,1700.000000
432621.762746,435318.707613,1700.000000
432891.847955,435474.641381,1700.000000
433075.159093,435726.947518,1700.000000
433140.000000,436032.000000,1800.000000
433075.159093,436337.052482,1800.000000
432891.847955,436589.358619,1800.000000
432621.762746,436745.292387,1800.000000
432311.603653,436777.891422,1800.000000
432015.000000,436681.519053,1800.000000
431783.237254,436472.838939,1800.000000
431656.389299,436187.933768,1800.000000
431656.389299,435876.066232,1800.000000
431783.237254,435591.161061,1800.000000
432015.000000,435382.480947,1800.000000
432311.603653,435286.108578,1800.000000
432621.762746,435318.707613,1800.000000
432891.847955,435474.641381,1800.000000
433075.159093,435726.947518,1800.000000
433140.000000,436032.000000,1900.000000
433075.159093,436337.052482,1900.000000
432891.847955,436589.358619,1900.000000
432621.762746,436745.292387,1900.000000
432311.603653,436777.891422,1900.000000
432015.000000,436681.519053,1900.000000
431783.237254,436472.838939,1900.000000
431656.389299,436187.933768,1900.000000
431656.389299,435876.066232,1900.000000
431783.237254,435591.161061,1900.000000
432015.000000,435382.480947,1900.000000
432311.603653,435286.108578,1900.000000
432621.762746,435318.707613,1900.000000
432891.847955,435474.641381,1900.000000
433075.159093,435726.947518,1900.000000
433140.000000,436032.000000,2000.000000
433075.159093,436337.052482,2000.000000
432891.847955,436589.358619,2000.000000
432621.762746,436745.292387,2000.000000
432311.603653,436777.891422,2000.000000
432015.000000,436681.519053,2000.000000
431783.237254,436472.838939,2000.000000
431656.389299,436187.933768,2000.000000
431656.389299,435876.066232,2000.000000
431783.237254,435591.161061,2000.000000
432015.000000,435382.480947,2000.000000
432311.603653,435286.108578,2000.000000
432621.762746,435318.707613,2000.000000
432891.847955,435474.641381,2000.000000
433075.159093,435726.947518,2000.000000
433890.000000,436032.000000,100.000000
433887.040093,436126.185779,100.000000
433878.172052,436219.999850,100.000000
433863.430876,436313.071972,100.000000
433842.874742,436405.034831,100.000000
433816.584774,436495.525492,100.000000
433784.664729,436584.186829,100.000000
433747.240579,436670.668937,100.000000
433704.460020,436754.630511,100.000000
433656.491888,436835.740192,100.000000
433603.525492,436913.677878,100.000000
433545.769864,436988.135985,100.000000
433483.452941,437058.820659,100.000000
433416.820659,437125.452941,100.000000
433346.135985,437187.769864,100.000000
433271.677878,437245.525492,100.000000
433193.740192,437298.491888,100.000000
433112.630511,437346.460020,100.000000
433028.668937,437389.240579,100.000000
432942.186829,437426.664729,100.000000
432853.525492,437458.584774,100.000000
432763.034831,437484.874742,100.000000
432671.071972,437505.430876,100.000000
432577.999850,437520.172052,100.000000
432484.185779,437529.040093,100.000000
432390.000000,437532.000000,100.000000
432295.814221,437529.040093,100.000000
432202.000150,437520.172052,100.000000
432108.928028,437505.430876,100.000000
432016.965169,437484.874742,100.000000
431926.474508,437458.584774,100.000000
431837.813171,437426.664729,100.000000
431751.331063,437389.240579,100.000000
431667.369489,437346.460020,100.000000
431586.259808,437298.491888,100.000000
431508.322122,437245.525492,100.000000
431433.864015,437187.769864,100.000000
431363.179341,437125.452941,100.000000
431296.547059,437058.820659,100.000000
431234.230136,436988.135985,100.000000
431176.474508,436913.677878,100.000000
431123.508112,436835.740192,100.000000
431075.539980,436754.630511,100.000000
431032.759421,436670.668937,100.000000
430995.335271,436584.186829,100.000000
430963.415226,436495.525492,100.000000
430937.125258,436405.034831,100.000000
430916.569124,436313.071972,100.000000
430901.827948,436219.999850,100.000000
430892.959907,436126.185779,100.000000
430890.000000,436032.000000,100.000000
430892.959907,435937.814221,100.000000
430901.827948,435844.000150,100.000000
430916.569124,435750.928028,100.000000
430937.125258,435658.965169,100.000000
430963.415226,435568.474508,100.000000
430995.335271,435479.813171,100.000000
431032.759421,435393.331063,100.000000
431075.539980,435309.369489,100.000000
431123.508112,435228.259808,100.000000
431176.474508,435150.322122,100.000000
431234.230136,435075.864015,100.000000
431296.547059,435005.179341,100.000000
431363.179341,434938.547059,100.000000
431433.864015,434876.230136,100.000000
431508.322122,434818.474508,100.000000
431586.259808,434765.508112,100.000000
431667.369489,434717.539980,100.000000
431751.331063,434674.759421,100.000000
431837.813171,434637.335271,100.000000
431926.474508,434605.415226,100.000000
432016.965169,434579.125258,100.000000
432108.928028,434558.569124,100.000000
432202.000150,434543.827948,100.000000
432295.814221,434534.959907,100.000000
432390.000000,434532.000000,100.000000
432484.185779,434534.959907,100.000000
432577.999850,434543.827948,100.000000
432671.071972,434558.569124,100.000000
432763.034831,434579.125258,100.000000
432853.525492,434605.415226,100.000000
432942.186829,434637.335271,100.000000
433028.668937,434674.759421,100.000000
433112.630511,434717.539980,100.000000
433193.740192,434765.508112,100.000000
433271.677878,434818.474508,100.000000
433346.135985,434876.230136,100.000000
433416.820659,434938.547059,100.000000
433483.452941,435005.179341,100.000000
433545.769864,435075.864015,100.000000
433603.525492,435150.322122,100.000000
433656.491888,435228.259808,100.000000
433704.460020,435309.369489,100.000000
433747.240579,435393.331063,100.000000
433784.664729,435479.813171,100.000000
433816.584774,435568.474508,100.000000
433842.874742,435658.965169,100.000000
433863.430876,435750.928028,100.000000
433878.172052,435844.000150,100.000000
433887.040093,435937.814221,100.000000
434640.000000,436032.000000,100.000000
434635.560139,436173.278669,100.000000
434622.258078,436313.999776,100.000000
434600.146314,436453.607958,100.000000
434569.312113,436591.552246,100.000000
434529.877162,436727.288237,100.000000
434481.997093,436860.280244,100.000000
434425.860868,436990.003406,100.000000
434361.690030,437115.945767,100.000000
434289.737832,437237.610289,100.000000
434210.288237,437354.516818,100.000000
434123.654796,437466.203977,100.000000
434030.179412,437572.230988,100.000000
433930.230988,437672.179412,100.000000
433824.203977,437765.654796,100.000000
433712.516818,437852.288237,100.000000
433595.610289,437931.737832,100.000000
433473.945767,438003.690030,100.000000
433348.003406,438067.860868,100.000000
433218.280244,438123.997093,100.000000
433085.288237,438171.877162,100.000000
432949.552246,438211.312113,100.000000
432811.607958,438242.146314,100.000000
432671.999776,438264.258078,100.000000
432531.278669,438277.560139,100.000000
432390.000000,438282.000000,100.000000
432248.721331,438277.560139,100.000000
432108.000224,438264.258078,100.000000
431968.392042,438242.146314,100.000000
431830.447754,438211.312113,100.000000
431694.711763,438171.877162,100.000000
431561.719756,438123.997093,100.000000
431431.996594,438067.860868,100.000000
431306.054233,438003.690030,100.000000
431184.389711,437931.737832,100.000000
431067.483182,437852.288237,100.000000
430955.796023,437765.654796,100.000000
430849.769012,437672.179412,100.000000
430749.820588,437572.230988,100.000000
430656.345204,437466.203977,100.000000
430569.711763,437354.516818,100.000000
430490.262168,437237.610289,100.000000
430418.309970,437115.945767,100.000000
430354.139132,436990.003406,100.000000
430298.002907,436860.280244,100.000000
430250.122838,436727.288237,100.000000
430210.687887,436591.552246,100.000000
430179.853686,436453.607958,100.000000
430157.741922,436313.999776,100.000000
430144.439861,436173.278669,100.000000
430140.000000,436032.000000,100.000000
430144.439861,435890.721331,100.000000
430157.741922,435750.000224,100.000000
430179.853686,435610.392042,100.000000
430210.687887,435472.447754,100.000000
430250.122838,435336.711763,100.000000
430298.002907,435203.719756,100.000000
430354.139132,435073.996594,100.000000
430418.309970,434948.054233,100.000000
430490.262168,434826.389711,100.000000
430569.711763,434709.483182,100.000000
430656.345204,434597.796023,100.000000
430749.820588,434491.769012,100.000000
430849.769012,434391.820588,100.000000
430955.796023,434298.345204,100.000000
431067.483182,434211.711763,100.000000
431184.389711,434132.262168,100.000000
431306.054233,434060.309970,100.000000
