x,y,z
433140.000000,436032.000000,100.000000
433075.159093,436337.052482,100.000000
432891.847955,436589.358619,100.000000
432621.762746,436745.292387,100.000000
432311.603653,436777.891422,100.000000
432015.000000,436681.519053,100.000000
431783.237254,436472.838939,100.000000
431656.389299,436187.933768,100.000000
431656.389299,435876.066232,100.000000
431783.237254,435591.161061,100.000000
432015.000000,435382.480947,100.000000
432311.603653,435286.108578,100.000000
432621.762746,435318.707613,100.000000
432891.847955,435474.641381,100.000000
433075.159093,435726.947518,100.000000
433140.000000,436032.000000,200.000000
433075.159093,436337.052482,200.000000
432891.847955,436589.358619,200.000000
432621.762746,436745.292387,200.000000
432311.603653,436777.891422,200.000000
432015.000000,436681.519053,200.000000
431783.237254,436472.838939,200.000000
431656.389299,436187.933768,200.000000
431656.389299,435876.066232,200.000000
431783.237254,435591.161061,200.000000
432015.000000,435382.480947,200.000000
432311.603653,435286.108578,200.000000
432621.762746,435318.707613,200.000000
432891.847955,435474.641381,200.000000
433075.159093,435726.947518,200.000000
